#,Referencia,Codigo,Marca,Categoria,Material,Precio Unitario Pza,Precio Docena (x12),Stock Actual (Pzas),Tipo Venta BD
538,"T2038SC3","T2038SC3","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",1,"DOCENA"
539,"T2038SC4","T2038SC4","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",1,"DOCENA"
540,"T2038SC5","T2038SC5","SIN MARCA","AROS OPTICOS","","$12.50","$150.00",1,"DOCENA"
541,"T5203C1","T5203C1","MEGGAN","AROS OPTICOS","","$5.50","$66.00",1,"DOCENA"
542,"T5203C3","T5203C3","MEGGAN","AROS OPTICOS","","$5.50","$66.00",1,"DOCENA"
543,"T5207C6","T5207C6","MEGGAN","AROS OPTICOS","","$5.50","$66.00",1,"DOCENA"
544,"T63013C1","T63013C1","N/A","N/A","Acetato / Metal","$4.50","$54.00",1,"DOCENA"
545,"T63013C3","T63013C3","N/A","N/A","Acetato / Metal","$4.50","$54.00",1,"DOCENA"
546,"TA1022C4","TA1022C4","N/A","N/A","Acetato / Metal","$9.75","$117.00",5,"DOCENA"
547,"TR27015C5","TR27015C5","FIRENCE","AROS OPTICOS","","$4.50","$54.00",1,"DOCENA"
548,"TR27016C4","TR27016C4","N/A","N/A","Acetato / Metal","$4.50","$54.00",7,"DOCENA"
549,"TR60023C2","TR60023C2","FAZIO","AROS OPTICOS","","$4.90","$58.80",20,"DOCENA"
550,"TR60023C5","TR60023C5","FAZIO","AROS OPTICOS","","$4.90","$58.80",12,"DOCENA"
551,"TR60023C6","TR60023C6","FAZIO","AROS OPTICOS","","$4.90","$58.80",18,"DOCENA"
552,"TR60025C6","TR60025C6","FAZIO","AROS OPTICOS","","$4.90","$58.80",1,"DOCENA"
553,"TR60027C2","TR60027C2","N/A","N/A","Acetato / Metal","$4.90","$58.80",5,"DOCENA"
554,"TR60028C1","TR60028C1","FAZIO","AROS OPTICOS","","$4.90","$58.80",30,"DOCENA"
555,"TR60028C2","TR60028C2","FAZIO","AROS OPTICOS","","$4.90","$58.80",44,"DOCENA"
556,"TR60029C1","TR60029C1","FAZIO","AROS OPTICOS","","$4.90","$58.80",13,"DOCENA"
557,"TR60029C4","TR60029C4","FAZIO","AROS OPTICOS","","$4.90","$58.80",11,"DOCENA"
558,"TR60030C1","TR60030C1","FAZIO","AROS OPTICOS","","$4.90","$58.80",7,"DOCENA"
559,"TR60031C4","TR60031C4","COLLEZIONE","AROS OPTICOS","","$4.90","$58.80",35,"DOCENA"
